Product URL,Product name,brand,Mrp,Sales price,Discount percentage,Number of reviews,Star rating
https://www.amazon.com/adidas-Ninja-Torsion-Shoes-Mens/dp/B08MWZQFK3?psc=1,adidas Ninja ZX Torsion Shoes Men's,Adidas,0.0,59.96,0,86,4.6
https://www.amazon.com/Nike-Joyride-Setter-Running-At6395-002/dp/B081T89GM3?psc=1,Nike Men's Walking Industrial Shoe,Nike,0.0,72.42,0,194,4.5
https://www.amazon.com/adidas-Response-Super-Running-Black/dp/B09KMJF85Y?psc=1,adidas Men's Response Super 3.0 Running Shoe,Adidas,0.0,68.78,0,0,0.0
https://www.amazon.com/ASICS-Gel-Kayano-Shoes-Piedmont-Sheet/dp/B08VHBHN22?psc=1,ASICS Men's Gel-Kayano 14 Shoes,ASICS,0.0,149.99,0,101,4.5
https://www.amazon.com/Nike-Drop-Type-Cn6916-100-White-Black/dp/B082R7L2M1?psc=1,Nike Men's Running Shoe,Nike,0.0,109.99,0,104,4.0
https://www.amazon.com/adidas-EQ21-Run-Shoe-Running/dp/B09GG61DJ7?psc=1,adidas EQ21 Run Shoe - Mens Running,Adidas,0.0,86.71,0,6,3.8
https://www.amazon.com/Under-Armour-Charged-Trainers-Sneakers/dp/B0B4KH9WV1?psc=1,Under Armour Charged Gemini 2020 Mens Running Trainers 3023276 Sneakers Shoes,Under Armour,0.0,134.99,0,2,5.0
https://www.amazon.com/ASICS-Gel-Kayano-Running-French-Safety/dp/B09G6VG7V8?psc=1,ASICS Men's Gel-Kayano 28 All Winter Long Running Shoes,ASICS,0.0,119.95,0,30,3.9
https://www.amazon.com/ASICS-MetaRide-Running-Shoes-Floss/dp/B07PKQWMR9?psc=1,ASICS Men's MetaRide Running Shoes,ASICS,250.0,139.95,44,75,4.0
https://www.amazon.com/adidas-Athletics-Running-Indleg-Rafazu/dp/B09P6FXNFJ?psc=1,adidas Men's Sprintstar Track and Field Shoe,Adidas,0.0,85.38,0,163,4.7
https://www.amazon.com/adidas-Terrex-Agravic-Pulse-Turbo/dp/B09NCK1PXY?psc=1,adidas Men's Terrex Agravic Flow 2.0 Gore-TEX Trail Running Shoe,Adidas,150.0,100.84,33,1,5.0
https://www.amazon.com/adidas-Boys-Novafvse-Sneaker-Black/dp/B07LBWBWPH?psc=1,adidas Men's Nova Running Shoe,Adidas,90.0,64.95,28,468,4.4
https://www.amazon.com/Under-Armour-Infinite-Running-Sneaker/dp/B09MY5KWH7?psc=1,Under Armour Men's HOVR Infinite 4 --Running Shoe,Under Armour,0.0,78.34,0,0,0.0
https://www.amazon.com/adidas-Womens-Astrarun-Sneaker-Light/dp/B07X5YJDF7?psc=1,adidas Men's Astrarun Running Shoe,Adidas,100.0,72.45,28,495,4.2
https://www.amazon.com/Nike-Mens-Presto-Running-Shoe/dp/B09YLPNTRV?psc=1,Nike Men's Air Presto Running Shoe,Nike,0.0,124.68,0,0,0.0
https://www.amazon.com/Reebok-ENERGYLUX-Running-Black-Legacy/dp/B07T4J8DGR?psc=1,Reebok Men's Energylux 2.0 Cross Trainer,Reebok,0.0,69.0,0,711,4.4
